																	
设计检查点																	
																	
																	
组件/模块：																	
story：																	
检查人：						检查工作量：							检查日期：				
																	
序号	重要	检查内容								自检项	初审项	终审项	备注	说明			
																	
1	高	是否按要求输出类图、时序图、接口说明书、测试用例集、ER图，如果不需要则在备注中说明理由															
2	高	时序图上的对象是否标识为类名，一个对象中避免存在多个完全不相干的职责															
3	高	usecase中的需求点是否全部覆盖，所有的需求点都需要在时序图中有承接															
4	高	是否考虑了通用需求(多语言、多时区、IP修改、平滑升级、性能、日志、安全等)															
5	高	设计时是否充分考虑了可维护性/可升级性												新功能开发、老功能修改时，需考虑对老版本的升级问题（数据库结构、数据更新、配置文件更新、升级文档等）			
6	高	设计时是否充分考虑了兼容性，												考虑该新版本对第三方系统的影响，考虑接口兼容性			
7	高	设计时是否充分考虑了安全性，建议从下述各个层面和维度进行考虑，避免设计遗漏。												满足公司安全设计规范			
7.1	高	物理安全：方案是否分析了业务对物理安全的诉求，如果涉及物理安全要求的，是否对物理安全做了明确考虑，比如终端采用SE/TEE来加强物理安全保护，后台系统采用HSM/加密卡/加密机来实施密钥管理；另外对于机房的物理隔离/灾备/防火/防潮/防盗/防雷等也都需要进行考虑（如果涉及）；												物理安全不是强制的，根据具体的项目和业务而定。有些项目/方案，有明确的行业规范约束要求的，可能对安全等级要求较高，这时候就需要实施物理安全保护。另外针对威胁较大的，也可能需要通过物理保护来加强基础安全保障。因此方案设计时需要对这些方面进行考虑和设计描述，确保设计不会出现大的遗漏。			
7.2	高	系统安全：方案设计时如果涉及或依赖系统安全，是否明确说明相关保护方案或者提出保护要求？												如果方案本身是用于加强系统安全，则应该详细描述相关的安全保护机制；如果方案的实施是在系统环境中运行，且对系统安全有依赖，则应该明确提出对系统安全的特性要求，包括选型/配置/性能/防病毒/以及各种额外安全要求等。			
7.3	高	数据安全：方案设计时是否对涉及到的敏感信息进行了梳理？如果方案中涉及敏感信息，是否对敏感信息的存储、传输（包括通过API传递参数，也是一种传输）、展示等环节的安全保护进行了设计说明？												"敏感信息包括用户密码/口令、加密密钥、私钥证书、用户生物特征、用户画像/联系方式/职业/家庭等个人隐私、用户账户信息、系统配置信息（IP/端口/等不必要公开的信息）等等，敏感信息的存储/传输/使用等都需要考虑安全，需要进行加密和/或完整性保护。

对于产品涉及到的个人数据，必须根据实际业务安全风险提供必要的安全保护机制（如认证、权限控制，日志记录等），以防止个人数据被泄露、丢失、破坏。产品必须在产品资料中对涉及用户隐私的功能进行描述和声明。如在欧盟区销售，需要按照欧盟GDPR要求进行隐私描述和声明。

敏感信息的分类以及要求可以参看公司安全基线要求中的敏感信息的分类列表，根据其要求采用合适的保护手段；方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。
"			
7.4	高	存储安全：针对敏感信息的存储，是否进行存储安全设计？												"敏感信息存储时，至少需要考虑如下几个方面的安全：
1）采用物理保护或者加密的手段，确保信息的机密性/完整性；
2）考虑存储数据的防降级/防重放/防回滚
3）对数据的访问进行权限管控；"			
7.5	高	接口安全：如果方案中涉及对外提供敏感功能接口，是否对每个敏感功能接口的访问控制（包括身份认证和权限检查）进行了设计说明？												敏感功能是指能够访问和使用敏感信息的一些功能，包括一些重要的参数设置/配置修改/密钥和证书的管理等，这类接口需要防止滥用，确保调用者是合法的的，且的确拥有合适的权限，可以结合身份认证和权限检查等机制来确保。需要注意的是在实际实施时容易出现遗漏，部分接口被忽略，建议针对每个对外提供的接口都要做一遍评估和检查。			
